path	decision	reason	lineage
[].Physiology and metabolism.API NH.[].ODC	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].MAL	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].LIP	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].GLU	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].FRU	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].beta GAL	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].ProA	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].PEN	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].GGT	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].IND	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API STA.XYL	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.XLT	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.VP	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.URE	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.TRE	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.SAC	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.RAF	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.PAL	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.NIT	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.NAG	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.MNE	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.MEL	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.MDG	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.MAN	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.MAL	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.LAC	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.GLU	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.FRU	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.ADH	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.LSTR	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API STA.Control	include	categorical	[].Physiology and metabolism.API STA
[].Physiology and metabolism.API biotype100.TTE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TRY	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TRE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TATE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SOR	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SAC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.RIB	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.RHA	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.pOBE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PLE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PAC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.NAG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MUC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MTL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MTE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MTAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MLZ	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MEL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MDG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MbGu	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MbGa	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MAN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MaGa	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LTE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LTAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LMLT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.INO	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.HBG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GRT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GNT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GEN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GAL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ESC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ERY	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.DTAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.DMLT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CIT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CEL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CATE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.5KG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.3MDG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.2KG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.XYL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.XLT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TUR	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TAG	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SBE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.RAF	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MNE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MAL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LYX	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LARL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LAC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GLY	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GLU	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.FUC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.FRU	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.DUL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.DARL	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ARA	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ADO	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TGE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SUC	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.QAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PPAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PCE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.mOBE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.HIS	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.HIN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GTE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CYT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CMT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.CAP	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.BET	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.BAT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ABT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TTN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.SER	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PRO	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.MNT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.LALA	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ITA	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GYT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GTT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GRE	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.GLN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.FUM	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.ETN	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.DALA	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.AVT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.APT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.3OBU	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.TYR	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.PROP	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API biotype100.2KT	include	categorical	[].Physiology and metabolism.API biotype100
[].Physiology and metabolism.API coryne.URE	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.GEL	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.ESC	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.PYRA	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.PAL	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.beta NAG	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.beta GAL	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.alpha GLU	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.beta GUR	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.SAC	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.PYZ	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.XYL	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.RIB	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.MAN	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.LAC	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.NIT	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.GLYG	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.MAL	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.GLU	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.Control	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.CAT	include	categorical	[].Physiology and metabolism.API coryne
[].Physiology and metabolism.API coryne.[].GEL	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].ESC	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].URE	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].PYRA	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].PAL	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].beta NAG	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].alpha GLU	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].SAC	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].beta GUR	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].beta GAL	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].XYL	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].RIB	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].PYZ	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].NIT	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].MAN	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].LAC	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].GLYG	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].MAL	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].GLU	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].Control	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API coryne.[].CAT	include	categorical	[].Physiology and metabolism.API coryne.[]
[].Physiology and metabolism.API rID32A.TyrA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.ProA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.PheA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.PAL	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.MNE	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.LGA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.LeuA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.beta GUR	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.beta GLU	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.beta GAL	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.ArgA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.alpha ARA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.AlaA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.ADH Arg	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.URE	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.RAF	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.GDC	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.beta NAG	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.alpha GAL	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.alpha FUC	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.PyrA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.IND	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.alpha GLU	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.GlyA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.NIT	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.HisA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.GGA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.SerA	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.beta GP	include	categorical	[].Physiology and metabolism.API rID32A
[].Physiology and metabolism.API rID32A.[].MNE	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].beta GP	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].beta GLU	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].beta GAL	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].alpha GLU	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].alpha ARA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].RAF	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].PheA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].PAL	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].beta NAG	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].beta GUR	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].ArgA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].ADH Arg	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].PyrA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].ProA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].LeuA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].alpha GAL	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].AlaA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].URE	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].TyrA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].LGA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].GlyA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].GDC	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].alpha FUC	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].IND	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].HisA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].NIT	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].GGA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32A.[].SerA	include	categorical	[].Physiology and metabolism.API rID32A.[]
[].Physiology and metabolism.API rID32STR.TRE	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.TAG	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.SOR	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.SAC	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.RIB	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.PyrA	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.PAL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.MEL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.Mbeta DG	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.MAN	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.MAL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.LARA	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.LAC	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.HIP	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.GTA	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.DARL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta NAG	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta MAN	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta GUR	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta GLU	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta GAR	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.alpha GAL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.ADH Arg	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.RAF	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.PUL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.MLZ	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.GLYG	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.URE	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.beta GAL	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.APPA	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.CDEX	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.VP	include	categorical	[].Physiology and metabolism.API rID32STR
[].Physiology and metabolism.API rID32STR.[].TRE	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].SOR	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].SAC	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].RAF	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].PAL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].MAN	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].LARA	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].LAC	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].DARL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta GUR	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta GLU	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta GAR	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].alpha GAL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].ADH Arg	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].URE	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].TAG	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].RIB	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].PyrA	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].PUL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].MLZ	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].MEL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].Mbeta DG	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].MAL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].GLYG	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].CDEX	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta MAN	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].VP	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].GTA	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta NAG	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].beta GAL	include	categorical	[].Physiology and metabolism.API rID32STR.[]
[].Physiology and metabolism.API rID32STR.[].APPA	include	categorical	[].Physiology and metabolism.API rID32STR.[]
