path	value
[].Physiology and metabolism.API rID32A.SerA	-
[].Physiology and metabolism.API rID32A.SerA	+
[].Physiology and metabolism.API rID32A.beta GP	+/-
[].Physiology and metabolism.API rID32A.beta GP	+
[].Physiology and metabolism.API rID32A.beta GP	-
[].Physiology and metabolism.API 20E.SAC	+/-
[].Physiology and metabolism.API 20E.SAC	-
[].Physiology and metabolism.API 20E.SAC	+
[].Physiology and metabolism.API 20E.MEL	+/-
[].Physiology and metabolism.API 20E.MEL	+
[].Physiology and metabolism.API 20E.MEL	-
[].Physiology and metabolism.API 20E.Sor	+/-
[].Physiology and metabolism.API 20E.Sor	+
[].Physiology and metabolism.API 20E.Sor	-
[].Physiology and metabolism.API 20E.RHA	-
[].Physiology and metabolism.API 20E.RHA	+/-
[].Physiology and metabolism.API 20E.RHA	+
[].Physiology and metabolism.API 20E.INO	+/-
[].Physiology and metabolism.API 20E.INO	+
[].Physiology and metabolism.API 20E.INO	-
[].Physiology and metabolism.API zym.[].Trypsin	+
[].Physiology and metabolism.API zym.[].Trypsin	+/-
[].Physiology and metabolism.API zym.[].Trypsin	-
[].Physiology and metabolism.API zym.[].Lipase	+
[].Physiology and metabolism.API zym.[].Lipase	+/-
[].Physiology and metabolism.API zym.[].Lipase	-
[].Physiology and metabolism.API zym.[].Cystine arylamidase	+/-
[].Physiology and metabolism.API zym.[].Cystine arylamidase	-
[].Physiology and metabolism.API zym.[].Cystine arylamidase	+
[].Physiology and metabolism.API zym.[].alpha- Chymotrypsin	+/-
[].Physiology and metabolism.API zym.[].alpha- Chymotrypsin	+
[].Physiology and metabolism.API zym.[].alpha- Chymotrypsin	-
[].Physiology and metabolism.API zym.[].N-acetyl-beta- glucosaminidase	+/-
[].Physiology and metabolism.API zym.[].N-acetyl-beta- glucosaminidase	+
[].Physiology and metabolism.API zym.[].N-acetyl-beta- glucosaminidase	-
[].Physiology and metabolism.API zym.[].Esterase Lipase	+
[].Physiology and metabolism.API zym.[].Esterase Lipase	+/-
[].Physiology and metabolism.API zym.[].Esterase Lipase	-
[].Physiology and metabolism.API zym.[].Esterase	+
[].Physiology and metabolism.API zym.[].Esterase	+/-
[].Physiology and metabolism.API zym.[].Esterase	-
[].Physiology and metabolism.API zym.[].beta- Galactosidase	+
[].Physiology and metabolism.API zym.[].beta- Galactosidase	-
[].Physiology and metabolism.API zym.[].beta- Galactosidase	+/-
[].Physiology and metabolism.API zym.[].alpha- Mannosidase	+/-
[].Physiology and metabolism.API zym.[].alpha- Mannosidase	-
[].Physiology and metabolism.API zym.[].alpha- Mannosidase	+
[].Physiology and metabolism.API zym.[].alpha- Galactosidase	-
[].Physiology and metabolism.API zym.[].alpha- Galactosidase	+/-
[].Physiology and metabolism.API zym.[].alpha- Galactosidase	+
[].Physiology and metabolism.API zym.[].alpha- Fucosidase	+
[].Physiology and metabolism.API zym.[].alpha- Fucosidase	+/-
[].Physiology and metabolism.API zym.[].alpha- Fucosidase	-
[].Physiology and metabolism.API zym.[].Alkaline phosphatase	+
[].Physiology and metabolism.API zym.[].Alkaline phosphatase	-
[].Physiology and metabolism.API zym.[].Alkaline phosphatase	+/-
[].Physiology and metabolism.API zym.[].Valine arylamidase	+/-
[].Physiology and metabolism.API zym.[].Valine arylamidase	-
[].Physiology and metabolism.API zym.[].Valine arylamidase	+
[].Physiology and metabolism.API zym.[].Naphthol-AS-BI-phosphohydrolase	-
[].Physiology and metabolism.API zym.[].Naphthol-AS-BI-phosphohydrolase	+/-
[].Physiology and metabolism.API zym.[].Naphthol-AS-BI-phosphohydrolase	+
[].Physiology and metabolism.API zym.[].Leucine arylamidase	+/-
[].Physiology and metabolism.API zym.[].Leucine arylamidase	+
[].Physiology and metabolism.API zym.[].Leucine arylamidase	-
[].Physiology and metabolism.API zym.[].beta- Glucuronidase	+
[].Physiology and metabolism.API zym.[].beta- Glucuronidase	+/-
[].Physiology and metabolism.API zym.[].beta- Glucuronidase	-
[].Physiology and metabolism.API zym.[].beta- Glucosidase	-
[].Physiology and metabolism.API zym.[].beta- Glucosidase	+/-
[].Physiology and metabolism.API zym.[].beta- Glucosidase	+
[].Physiology and metabolism.API zym.[].alpha- Glucosidase	+/-
[].Physiology and metabolism.API zym.[].alpha- Glucosidase	-
[].Physiology and metabolism.API zym.[].alpha- Glucosidase	+
[].Physiology and metabolism.API zym.[].Acid phosphatase	+/-
[].Physiology and metabolism.API zym.[].Acid phosphatase	+
[].Physiology and metabolism.API zym.[].Acid phosphatase	-
[].Physiology and metabolism.fatty acid profile.system	MIS MIDI
[].Physiology and metabolism.API 20E.MAN	-
[].Physiology and metabolism.API 20E.MAN	+/-
[].Physiology and metabolism.API 20E.MAN	+
[].Physiology and metabolism.API 20E.ARA	+/-
[].Physiology and metabolism.API 20E.ARA	+
[].Physiology and metabolism.API 20E.ARA	-
[].Physiology and metabolism.API 20E.AMY	-
[].Physiology and metabolism.API 20E.AMY	+/-
[].Physiology and metabolism.API 20E.AMY	+
[].Physiology and metabolism.API ID32E.URE	+
[].Physiology and metabolism.API ID32E.URE	-
[].Physiology and metabolism.API ID32E.TRE	+
[].Physiology and metabolism.API ID32E.TRE	-
[].Physiology and metabolism.API ID32E.SOR	+
[].Physiology and metabolism.API ID32E.SOR	-
[].Physiology and metabolism.API ID32E.SAC	-
[].Physiology and metabolism.API ID32E.SAC	+
[].Physiology and metabolism.API ID32E.RP	-
[].Physiology and metabolism.API ID32E.RP	+
[].Physiology and metabolism.API ID32E.RHA	-
[].Physiology and metabolism.API ID32E.RHA	+
[].Physiology and metabolism.API ID32E.PLE	+
[].Physiology and metabolism.API ID32E.PLE	-
[].Physiology and metabolism.API ID32E.ODC	-
[].Physiology and metabolism.API ID32E.ODC	+
[].Physiology and metabolism.API ID32E.LDC Lys	+
[].Physiology and metabolism.API ID32E.LDC Lys	-
[].Physiology and metabolism.API ID32E.LARL	+
[].Physiology and metabolism.API ID32E.LARL	-
[].Physiology and metabolism.API ID32E.LARA	-
[].Physiology and metabolism.API ID32E.LARA	+
[].Physiology and metabolism.API ID32E.INO	+
[].Physiology and metabolism.API ID32E.INO	-
[].Physiology and metabolism.API ID32E.GLU	-
[].Physiology and metabolism.API ID32E.GLU	+
[].Physiology and metabolism.API ID32E.GAT	+
[].Physiology and metabolism.API ID32E.GAT	-
[].Physiology and metabolism.API ID32E.DARL	+
[].Physiology and metabolism.API ID32E.DARL	-
[].Physiology and metabolism.API ID32E.CEL	+
[].Physiology and metabolism.API ID32E.CEL	-
[].Physiology and metabolism.API ID32E.beta GUR	+
[].Physiology and metabolism.API ID32E.beta GUR	-
[].Physiology and metabolism.API ID32E.beta GLU	+
[].Physiology and metabolism.API ID32E.beta GLU	-
[].Physiology and metabolism.API ID32E.beta GAL	-
[].Physiology and metabolism.API ID32E.beta GAL	+
[].Physiology and metabolism.API ID32E.alphaMAL	+
[].Physiology and metabolism.API ID32E.alphaMAL	-
[].Physiology and metabolism.API ID32E.alpha GAL	-
[].Physiology and metabolism.API ID32E.alpha GAL	+
[].Physiology and metabolism.API ID32E.ADO	+
[].Physiology and metabolism.API ID32E.ADO	-
[].Physiology and metabolism.API ID32E.ADH Arg	-
[].Physiology and metabolism.API ID32E.ADH Arg	+
[].Physiology and metabolism.API ID32E.5KG	+
[].Physiology and metabolism.API ID32E.5KG	-
[].Physiology and metabolism.API ID32E.MNT	+
[].Physiology and metabolism.API ID32E.MNT	-
[].Physiology and metabolism.API ID32E.MAL	-
[].Physiology and metabolism.API ID32E.MAL	+
[].Physiology and metabolism.API ID32E.alpha GLU	-
[].Physiology and metabolism.API ID32E.alpha GLU	+
[].Physiology and metabolism.API ID32E.MAN	-
[].Physiology and metabolism.API ID32E.MAN	+
[].Physiology and metabolism.API ID32E.LIP	+
[].Physiology and metabolism.API ID32E.LIP	-
[].Physiology and metabolism.API ID32E.IND	+
[].Physiology and metabolism.API ID32E.IND	-
[].Physiology and metabolism.API ID32E.beta NAG	+
[].Physiology and metabolism.API ID32E.beta NAG	-
[].Physiology and metabolism.API ID32E.AspA	+
[].Physiology and metabolism.API ID32E.AspA	-
[].Physiology and metabolism.API 20NE.[].PAC	+
[].Physiology and metabolism.API 20NE.[].PAC	+/-
[].Physiology and metabolism.API 20NE.[].PAC	-
[].Physiology and metabolism.API 20NE.[].MNE	+
[].Physiology and metabolism.API 20NE.[].MNE	+/-
[].Physiology and metabolism.API 20NE.[].MNE	-
[].Physiology and metabolism.API 20NE.[].MLT	+
[].Physiology and metabolism.API 20NE.[].MLT	-
[].Physiology and metabolism.API 20NE.[].MLT	+/-
[].Physiology and metabolism.API 20NE.[].GNT	+
[].Physiology and metabolism.API 20NE.[].GNT	+/-
[].Physiology and metabolism.API 20NE.[].GNT	-
[].Physiology and metabolism.API 20NE.[].GLU_ Ferm	+
[].Physiology and metabolism.API 20NE.[].GLU_ Ferm	+/-
[].Physiology and metabolism.API 20NE.[].GLU_ Ferm	-
[].Physiology and metabolism.API 20NE.[].GLU_ Assim	+
[].Physiology and metabolism.API 20NE.[].GLU_ Assim	-
[].Physiology and metabolism.API 20NE.[].GLU_ Assim	+/-
[].Physiology and metabolism.API 20NE.[].GEL	+
[].Physiology and metabolism.API 20NE.[].GEL	+/-
[].Physiology and metabolism.API 20NE.[].GEL	-
[].Physiology and metabolism.API 20NE.[].ESC	+
[].Physiology and metabolism.API 20NE.[].ESC	+/-
[].Physiology and metabolism.API 20NE.[].ESC	-
[].Physiology and metabolism.API 20NE.[].CIT	+
[].Physiology and metabolism.API 20NE.[].CIT	+/-
[].Physiology and metabolism.API 20NE.[].CIT	-
[].Physiology and metabolism.API 20NE.[].CAP	+
[].Physiology and metabolism.API 20NE.[].CAP	-
[].Physiology and metabolism.API 20NE.[].CAP	+/-
[].Physiology and metabolism.API 20NE.[].ARA	+/-
[].Physiology and metabolism.API 20NE.[].ARA	+
[].Physiology and metabolism.API 20NE.[].ARA	-
[].Physiology and metabolism.API 20NE.[].ADI	+
[].Physiology and metabolism.API 20NE.[].ADI	+/-
[].Physiology and metabolism.API 20NE.[].ADI	-
[].Physiology and metabolism.API 20NE.[].URE	+
[].Physiology and metabolism.API 20NE.[].URE	-
[].Physiology and metabolism.API 20NE.[].URE	+/-
[].Physiology and metabolism.API 20NE.[].TRP	-
[].Physiology and metabolism.API 20NE.[].TRP	+
[].Physiology and metabolism.API 20NE.[].TRP	+/-
[].Physiology and metabolism.API 20NE.[].PNPG	-
[].Physiology and metabolism.API 20NE.[].PNPG	+
[].Physiology and metabolism.API 20NE.[].PNPG	+/-
[].Physiology and metabolism.API 20NE.[].NAG	+/-
[].Physiology and metabolism.API 20NE.[].NAG	+
[].Physiology and metabolism.API 20NE.[].NAG	-
[].Physiology and metabolism.API 20NE.[].MAN	-
[].Physiology and metabolism.API 20NE.[].MAN	+
[].Physiology and metabolism.API 20NE.[].MAN	+/-
[].Physiology and metabolism.API 20NE.[].MAL	+
[].Physiology and metabolism.API 20NE.[].MAL	+/-
[].Physiology and metabolism.API 20NE.[].MAL	-
[].Physiology and metabolism.API 20NE.[].NO3	-
[].Physiology and metabolism.API 20NE.[].NO3	+/-
[].Physiology and metabolism.API 20NE.[].NO3	+
[].Physiology and metabolism.API 20NE.[].ADH Arg	+/-
[].Physiology and metabolism.API 20NE.[].ADH Arg	-
[].Physiology and metabolism.API 20NE.[].ADH Arg	+
[].Physiology and metabolism.API 20E.OX	+/-
[].Physiology and metabolism.API 20E.OX	+
[].Physiology and metabolism.API 20E.OX	-
[].Physiology and metabolism.API 50CHac.Q	-
[].Physiology and metabolism.API NH.URE	+
[].Physiology and metabolism.API NH.URE	-
[].Physiology and metabolism.API NH.SAC	+/-
[].Physiology and metabolism.API NH.SAC	+
[].Physiology and metabolism.API NH.SAC	-
[].Physiology and metabolism.API NH.PAL	-
[].Physiology and metabolism.API NH.PAL	+
[].Physiology and metabolism.API NH.ODC	+
[].Physiology and metabolism.API NH.ODC	-
[].Physiology and metabolism.API NH.MAL	-
[].Physiology and metabolism.API NH.MAL	+/-
[].Physiology and metabolism.API NH.MAL	+
[].Physiology and metabolism.API NH.LIP	+/-
[].Physiology and metabolism.API NH.LIP	-
[].Physiology and metabolism.API NH.LIP	+
[].Physiology and metabolism.API NH.GLU	-
[].Physiology and metabolism.API NH.GLU	+
[].Physiology and metabolism.API NH.FRU	-
[].Physiology and metabolism.API NH.FRU	+/-
[].Physiology and metabolism.API NH.FRU	+
[].Physiology and metabolism.API NH.beta GAL	+
[].Physiology and metabolism.API NH.beta GAL	-
[].Physiology and metabolism.API NH.ProA	-
[].Physiology and metabolism.API NH.ProA	+/-
[].Physiology and metabolism.API NH.ProA	+
[].Physiology and metabolism.API NH.GGT	+/-
[].Physiology and metabolism.API NH.GGT	+
[].Physiology and metabolism.API NH.GGT	-
[].Physiology and metabolism.API NH.IND	-
[].Physiology and metabolism.API NH.IND	+
[].Morphology.colony morphology.hemolysis ability	1
[].Culture and growth conditions.culture pH.type	maximum
[].Culture and growth conditions.culture pH.type	growth
[].Culture and growth conditions.culture pH.type	optimum
[].Culture and growth conditions.culture pH.type	minimum
[].Culture and growth conditions.culture pH.ability	no
[].Culture and growth conditions.culture pH.ability	positive
[].Physiology and metabolism.API zym.[].Control	+/-
[].Physiology and metabolism.API zym.[].Control	+
[].Physiology and metabolism.API zym.[].Control	-
[].Physiology and metabolism.API 20NE.[].OX	+/-
[].Physiology and metabolism.API 20NE.[].OX	-
[].Physiology and metabolism.API 20NE.[].OX	+
[].Physiology and metabolism.API NH.PEN	+
[].Physiology and metabolism.API NH.PEN	-
[].Physiology and metabolism.API 20E.NO2	-
[].Physiology and metabolism.API 20E.NO2	+
[].Physiology and metabolism.API 20E.[].ONPG	+
[].Physiology and metabolism.API 20E.[].ONPG	-
[].Physiology and metabolism.API 20E.[].ONPG	+/-
[].Physiology and metabolism.metabolite tests.methylred-test	-
[].Physiology and metabolism.metabolite tests.methylred-test	+
[].Physiology and metabolism.API 20E.[].URE	-
[].Physiology and metabolism.API 20E.[].URE	+/-
[].Physiology and metabolism.API 20E.[].URE	+
[].Physiology and metabolism.API 20E.[].ODC	+
[].Physiology and metabolism.API 20E.[].ODC	-
[].Physiology and metabolism.API 20E.[].ODC	+/-
[].Physiology and metabolism.API 20E.[].LDC Lys	+/-
[].Physiology and metabolism.API 20E.[].LDC Lys	+
[].Physiology and metabolism.API 20E.[].LDC Lys	-
[].Physiology and metabolism.API 20E.[].H2S	-
[].Physiology and metabolism.API 20E.[].H2S	+
[].Physiology and metabolism.API 20E.[].H2S	+/-
[].Physiology and metabolism.API 20E.[].GEL	+/-
[].Physiology and metabolism.API 20E.[].GEL	-
[].Physiology and metabolism.API 20E.[].GEL	+
[].Physiology and metabolism.API 20E.[].CIT	+/-
[].Physiology and metabolism.API 20E.[].CIT	-
[].Physiology and metabolism.API 20E.[].CIT	+
[].Physiology and metabolism.API 20E.[].ADH Arg	-
[].Physiology and metabolism.API 20E.[].ADH Arg	+
[].Physiology and metabolism.API 20E.[].ADH Arg	+/-
[].Physiology and metabolism.API 20E.[].VP	+/-
[].Physiology and metabolism.API 20E.[].VP	+
[].Physiology and metabolism.API 20E.[].VP	-
[].Physiology and metabolism.API 20E.[].TDA Trp	+
[].Physiology and metabolism.API 20E.[].TDA Trp	-
[].Physiology and metabolism.API 20E.[].TDA Trp	+/-
[].Physiology and metabolism.API 20E.[].IND	-
[].Physiology and metabolism.API 20E.[].IND	+/-
[].Physiology and metabolism.API 20E.[].IND	+
[].Physiology and metabolism.API 20E.[].GLU	+
[].Physiology and metabolism.API 20E.[].GLU	+/-
[].Physiology and metabolism.API 20E.[].GLU	-
[].Physiology and metabolism.API 20E.[].Sor	-
[].Physiology and metabolism.API 20E.[].Sor	+
[].Physiology and metabolism.API 20E.[].Sor	+/-
[].Physiology and metabolism.API 20E.[].RHA	+/-
[].Physiology and metabolism.API 20E.[].RHA	-
[].Physiology and metabolism.API 20E.[].RHA	+
[].Physiology and metabolism.API 20E.[].MAN	+/-
[].Physiology and metabolism.API 20E.[].MAN	-
[].Physiology and metabolism.API 20E.[].MAN	+
[].Physiology and metabolism.API 20E.[].INO	+/-
[].Physiology and metabolism.API 20E.[].INO	+
[].Physiology and metabolism.API 20E.[].INO	-
[].Physiology and metabolism.API 20E.[].ARA	+/-
[].Physiology and metabolism.API 20E.[].ARA	+
[].Physiology and metabolism.API 20E.[].ARA	-
[].Physiology and metabolism.API 20E.[].AMY	+/-
[].Physiology and metabolism.API 20E.[].AMY	+
[].Physiology and metabolism.API 20E.[].AMY	-
[].Physiology and metabolism.API 20E.[].SAC	+
[].Physiology and metabolism.API 20E.[].SAC	+/-
[].Physiology and metabolism.API 20E.[].SAC	-
[].Physiology and metabolism.API 20E.[].MEL	+/-
[].Physiology and metabolism.API 20E.[].MEL	+
[].Physiology and metabolism.API 20E.[].MEL	-
[].Physiology and metabolism.fatty acid profile.agar/liquid	agar
[].Physiology and metabolism.fatty acid profile.agar/liquid	liquid
[].Morphology.pigmentation.[].production	yes
[].Morphology.pigmentation.[].production	no
[].Physiology and metabolism.API rID32A.[].MNE	+
[].Physiology and metabolism.API rID32A.[].MNE	+/-
[].Physiology and metabolism.API rID32A.[].MNE	-
[].Physiology and metabolism.API rID32A.[].beta GP	+
[].Physiology and metabolism.API rID32A.[].beta GP	-
[].Physiology and metabolism.API rID32A.[].beta GP	+/-
[].Physiology and metabolism.API rID32A.[].beta GLU	-
[].Physiology and metabolism.API rID32A.[].beta GLU	+
[].Physiology and metabolism.API rID32A.[].beta GLU	+/-
[].Physiology and metabolism.API rID32A.[].beta GAL	+
[].Physiology and metabolism.API rID32A.[].beta GAL	+/-
[].Physiology and metabolism.API rID32A.[].beta GAL	-
[].Physiology and metabolism.API rID32A.[].alpha GLU	+/-
[].Physiology and metabolism.API rID32A.[].alpha GLU	-
[].Physiology and metabolism.API rID32A.[].alpha GLU	+
[].Physiology and metabolism.API rID32A.[].alpha ARA	+/-
[].Physiology and metabolism.API rID32A.[].alpha ARA	+
[].Physiology and metabolism.API rID32A.[].alpha ARA	-
[].Physiology and metabolism.API rID32A.[].RAF	+/-
[].Physiology and metabolism.API rID32A.[].RAF	+
[].Physiology and metabolism.API rID32A.[].RAF	-
[].Physiology and metabolism.API rID32A.[].PheA	+/-
[].Physiology and metabolism.API rID32A.[].PheA	-
[].Physiology and metabolism.API rID32A.[].PheA	+
[].Physiology and metabolism.API rID32A.[].PAL	+
[].Physiology and metabolism.API rID32A.[].PAL	-
[].Physiology and metabolism.API rID32A.[].PAL	+/-
[].Physiology and metabolism.API rID32A.[].beta NAG	+/-
[].Physiology and metabolism.API rID32A.[].beta NAG	+
[].Physiology and metabolism.API rID32A.[].beta NAG	-
[].Physiology and metabolism.API rID32A.[].beta GUR	+/-
[].Physiology and metabolism.API rID32A.[].beta GUR	+
[].Physiology and metabolism.API rID32A.[].beta GUR	-
[].Physiology and metabolism.API rID32A.[].ArgA	+
[].Physiology and metabolism.API rID32A.[].ArgA	+/-
[].Physiology and metabolism.API rID32A.[].ArgA	-
[].Physiology and metabolism.API rID32A.[].ADH Arg	+/-
[].Physiology and metabolism.API rID32A.[].ADH Arg	+
[].Physiology and metabolism.API rID32A.[].ADH Arg	-
[].Physiology and metabolism.API rID32A.[].PyrA	+/-
[].Physiology and metabolism.API rID32A.[].PyrA	+
[].Physiology and metabolism.API rID32A.[].PyrA	-
[].Physiology and metabolism.API rID32A.[].ProA	-
[].Physiology and metabolism.API rID32A.[].ProA	+/-
[].Physiology and metabolism.API rID32A.[].ProA	+
[].Physiology and metabolism.API rID32A.[].LeuA	+/-
[].Physiology and metabolism.API rID32A.[].LeuA	-
[].Physiology and metabolism.API rID32A.[].LeuA	+
[].Physiology and metabolism.API rID32A.[].alpha GAL	+/-
[].Physiology and metabolism.API rID32A.[].alpha GAL	+
[].Physiology and metabolism.API rID32A.[].alpha GAL	-
[].Physiology and metabolism.API rID32A.[].AlaA	+/-
[].Physiology and metabolism.API rID32A.[].AlaA	+
[].Physiology and metabolism.API rID32A.[].AlaA	-
[].Physiology and metabolism.API rID32A.[].URE	+/-
[].Physiology and metabolism.API rID32A.[].URE	+
[].Physiology and metabolism.API rID32A.[].URE	-
[].Physiology and metabolism.API rID32A.[].TyrA	+
[].Physiology and metabolism.API rID32A.[].TyrA	+/-
[].Physiology and metabolism.API rID32A.[].TyrA	-
[].Physiology and metabolism.API rID32A.[].LGA	+/-
[].Physiology and metabolism.API rID32A.[].LGA	+
[].Physiology and metabolism.API rID32A.[].LGA	-
[].Physiology and metabolism.API rID32A.[].GlyA	+/-
[].Physiology and metabolism.API rID32A.[].GlyA	+
[].Physiology and metabolism.API rID32A.[].GlyA	-
[].Physiology and metabolism.API rID32A.[].GDC	+/-
[].Physiology and metabolism.API rID32A.[].GDC	+
[].Physiology and metabolism.API rID32A.[].GDC	-
[].Physiology and metabolism.API rID32A.[].alpha FUC	-
[].Physiology and metabolism.API rID32A.[].alpha FUC	+/-
[].Physiology and metabolism.API rID32A.[].alpha FUC	+
[].Physiology and metabolism.API rID32A.[].IND	+/-
[].Physiology and metabolism.API rID32A.[].IND	-
[].Physiology and metabolism.API rID32A.[].IND	+
[].Physiology and metabolism.API rID32A.[].HisA	+/-
[].Physiology and metabolism.API rID32A.[].HisA	-
[].Physiology and metabolism.API rID32A.[].HisA	+
[].Physiology and metabolism.API rID32A.[].NIT	+/-
[].Physiology and metabolism.API rID32A.[].NIT	+
[].Physiology and metabolism.API rID32A.[].NIT	-
[].Physiology and metabolism.API rID32A.[].GGA	+
[].Physiology and metabolism.API rID32A.[].GGA	-
[].Physiology and metabolism.API rID32A.[].GGA	+/-
[].Physiology and metabolism.API rID32A.[].SerA	-
[].Physiology and metabolism.API rID32A.[].SerA	+/-
[].Physiology and metabolism.API rID32A.[].SerA	+
[].Physiology and metabolism.spore formation.[].spore formation	yes
[].Physiology and metabolism.spore formation.[].spore formation	no
[].Physiology and metabolism.API 20E.N2	-
[].Physiology and metabolism.API 20E.N2	+/-
[].Physiology and metabolism.API 20E.N2	+
[].Physiology and metabolism.API 20E.[].OX	+/-
[].Physiology and metabolism.API 20E.[].OX	+
[].Physiology and metabolism.API 20E.[].OX	-
[].Physiology and metabolism.API 50CHac.[].XLT	-
[].Physiology and metabolism.API 50CHac.[].XLT	+
[].Physiology and metabolism.API 50CHac.[].XLT	+/-
[].Physiology and metabolism.API 50CHac.[].TUR	+/-
[].Physiology and metabolism.API 50CHac.[].TUR	-
[].Physiology and metabolism.API 50CHac.[].TUR	+
[].Physiology and metabolism.API 50CHac.[].TRE	+/-
[].Physiology and metabolism.API 50CHac.[].TRE	+
[].Physiology and metabolism.API 50CHac.[].TRE	-
[].Physiology and metabolism.API 50CHac.[].TAG	+
[].Physiology and metabolism.API 50CHac.[].TAG	+/-
[].Physiology and metabolism.API 50CHac.[].TAG	-
[].Physiology and metabolism.API 50CHac.[].SOR	+
[].Physiology and metabolism.API 50CHac.[].SOR	+/-
[].Physiology and metabolism.API 50CHac.[].SOR	-
[].Physiology and metabolism.API 50CHac.[].SBE	+/-
[].Physiology and metabolism.API 50CHac.[].SBE	+
[].Physiology and metabolism.API 50CHac.[].SBE	-
[].Physiology and metabolism.API 50CHac.[].SAL	+
[].Physiology and metabolism.API 50CHac.[].SAL	+/-
[].Physiology and metabolism.API 50CHac.[].SAL	-
[].Physiology and metabolism.API 50CHac.[].SAC	-
[].Physiology and metabolism.API 50CHac.[].SAC	+/-
[].Physiology and metabolism.API 50CHac.[].SAC	+
[].Physiology and metabolism.API 50CHac.[].RIB	+/-
[].Physiology and metabolism.API 50CHac.[].RIB	+
[].Physiology and metabolism.API 50CHac.[].RIB	-
[].Physiology and metabolism.API 50CHac.[].RHA	+
[].Physiology and metabolism.API 50CHac.[].RHA	+/-
[].Physiology and metabolism.API 50CHac.[].RHA	-
[].Physiology and metabolism.API 50CHac.[].RAF	-
[].Physiology and metabolism.API 50CHac.[].RAF	+
[].Physiology and metabolism.API 50CHac.[].RAF	+/-
[].Physiology and metabolism.API 50CHac.[].NAG	+/-
[].Physiology and metabolism.API 50CHac.[].NAG	-
[].Physiology and metabolism.API 50CHac.[].NAG	+
[].Physiology and metabolism.API 50CHac.[].MNE	+/-
[].Physiology and metabolism.API 50CHac.[].MNE	+
[].Physiology and metabolism.API 50CHac.[].MNE	-
[].Physiology and metabolism.API 50CHac.[].MLZ	+
[].Physiology and metabolism.API 50CHac.[].MLZ	+/-
[].Physiology and metabolism.API 50CHac.[].MLZ	-
[].Physiology and metabolism.API 50CHac.[].MEL	+/-
[].Physiology and metabolism.API 50CHac.[].MEL	+
[].Physiology and metabolism.API 50CHac.[].MEL	-
[].Physiology and metabolism.API 50CHac.[].MDX	+
[].Physiology and metabolism.API 50CHac.[].MDX	+/-
[].Physiology and metabolism.API 50CHac.[].MDX	-
[].Physiology and metabolism.API 50CHac.[].MDM	+/-
[].Physiology and metabolism.API 50CHac.[].MDM	+
[].Physiology and metabolism.API 50CHac.[].MDM	-
[].Physiology and metabolism.API 50CHac.[].MDG	+
[].Physiology and metabolism.API 50CHac.[].MDG	+/-
[].Physiology and metabolism.API 50CHac.[].MDG	-
[].Physiology and metabolism.API 50CHac.[].MAN	+/-
[].Physiology and metabolism.API 50CHac.[].MAN	+
[].Physiology and metabolism.API 50CHac.[].MAN	-
[].Physiology and metabolism.API 50CHac.[].MAL	+
[].Physiology and metabolism.API 50CHac.[].MAL	+/-
[].Physiology and metabolism.API 50CHac.[].MAL	-
[].Physiology and metabolism.API 50CHac.[].LYX	+
[].Physiology and metabolism.API 50CHac.[].LYX	+/-
[].Physiology and metabolism.API 50CHac.[].LYX	-
[].Physiology and metabolism.API 50CHac.[].LXYL	+/-
[].Physiology and metabolism.API 50CHac.[].LXYL	-
[].Physiology and metabolism.API 50CHac.[].LXYL	+
[].Physiology and metabolism.API 50CHac.[].LFUC	-
[].Physiology and metabolism.API 50CHac.[].LFUC	+
[].Physiology and metabolism.API 50CHac.[].LFUC	+/-
[].Physiology and metabolism.API 50CHac.[].LARL	-
[].Physiology and metabolism.API 50CHac.[].LARL	+
[].Physiology and metabolism.API 50CHac.[].LARL	+/-
[].Physiology and metabolism.API 50CHac.[].LARA	+/-
[].Physiology and metabolism.API 50CHac.[].LARA	+
[].Physiology and metabolism.API 50CHac.[].LARA	-
[].Physiology and metabolism.API 50CHac.[].LAC	-
[].Physiology and metabolism.API 50CHac.[].LAC	+
[].Physiology and metabolism.API 50CHac.[].LAC	+/-
[].Physiology and metabolism.API 50CHac.[].INU	+/-
[].Physiology and metabolism.API 50CHac.[].INU	-
[].Physiology and metabolism.API 50CHac.[].INU	+
[].Physiology and metabolism.API 50CHac.[].INO	+
[].Physiology and metabolism.API 50CHac.[].INO	+/-
[].Physiology and metabolism.API 50CHac.[].INO	-
[].Physiology and metabolism.API 50CHac.[].GLYG	-
[].Physiology and metabolism.API 50CHac.[].GLYG	+
[].Physiology and metabolism.API 50CHac.[].GLYG	+/-
[].Physiology and metabolism.API 50CHac.[].GLY	+
[].Physiology and metabolism.API 50CHac.[].GLY	+/-
[].Physiology and metabolism.API 50CHac.[].GLY	-
[].Physiology and metabolism.API 50CHac.[].GLU	+/-
[].Physiology and metabolism.API 50CHac.[].GLU	+
[].Physiology and metabolism.API 50CHac.[].GLU	-
[].Physiology and metabolism.API 50CHac.[].GEN	-
[].Physiology and metabolism.API 50CHac.[].GEN	+/-
[].Physiology and metabolism.API 50CHac.[].GEN	+
[].Physiology and metabolism.API 50CHac.[].GAL	+/-
[].Physiology and metabolism.API 50CHac.[].GAL	+
[].Physiology and metabolism.API 50CHac.[].GAL	-
[].Physiology and metabolism.API 50CHac.[].ESC	+/-
[].Physiology and metabolism.API 50CHac.[].ESC	+
